"112年07月25日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","1.34","111","49.21","1.25","112/1",
"1102","亞泥","5.90","111","11.37","0.88","112/1",
"1103","嘉泥","2.35","111","-","0.62","112/1",
"1104","環泥","6.08","111","10.88","0.90","112/1",
"1108","幸福","4.75","111","10.40","1.45","112/1",
"1109","信大","4.68","111","12.86","0.74","112/1",
"1110","東泥","0.51","111","72.96","1.29","112/1",
"1201","味全","1.23","111","36.20","1.37","112/1",
"1203","味王","2.54","111","18.27","1.83","112/1",
"1210","大成","2.58","111","20.46","2.25","112/1",
"1213","大飲","0.00","111","-","1.04","112/1",
"1215","卜蜂","3.76","111","16.61","3.02","112/1",
"1216","統一","4.17","111","23.92","3.30","112/1",
"1217","愛之味","2.93","111","23.14","0.99","112/1",
"1218","泰山","2.14","111","2.27","1.03","112/1",
"1219","福壽","3.95","111","35.53","1.46","112/1",
"1220","台榮","1.36","111","491.67","1.18","112/1",
"1225","福懋油","3.58","111","53.24","3.45","112/1",
"1227","佳格","3.26","111","31.14","2.01","112/1",
"1229","聯華","2.89","111","27.72","2.75","112/1",
"1231","聯華食","2.87","111","22.97","3.77","112/1",
"1232","大統益","4.14","111","21.17","4.22","112/1",
"1233","天仁","2.26","111","52.22","2.44","112/1",
"1234","黑松","4.50","111","16.88","0.90","112/1",
"1235","興泰","2.68","111","14.94","1.62","112/1",
"1236","宏亞","4.42","111","453.00","0.90","112/1",
"1256","鮮活果汁-KY","2.16","111","25.19","2.74","112/1",
"1301","台塑","5.12","111","23.87","1.52","112/1",
"1303","南亞","4.31","111","30.80","1.55","112/1",
"1304","台聚","3.06","111","26.57","1.00","112/1",
"1305","華夏","1.36","111","-","1.33","112/1",
"1307","三芳","3.55","111","17.35","1.08","112/1",
"1308","亞聚","4.51","111","13.23","1.08","112/1",
"1309","台達化","2.54","111","98.50","1.09","112/1",
"1310","台苯","1.30","111","-","1.23","112/1",
"1312","國喬","2.74","111","-","0.52","112/1",
"1313","聯成","1.26","111","-","0.78","112/1",
"1314","中石化","0.00","111","-","0.45","112/1",
"1315","達新","8.52","111","10.20","0.62","112/1",
"1316","上曜","6.06","111","21.79","0.96","112/1",
"1319","東陽","4.59","111","13.76","1.32","112/1",
"1321","大洋","0.00","111","73.83","1.34","112/1",
"1323","永裕","3.46","111","18.38","1.21","112/1",
"1324","地球","1.70","111","65.28","0.93","112/1",
"1325","恆大","2.24","111","159.64","0.69","112/1",
"1326","台化","1.48","111","712.22","1.12","112/1",
"1337","再生-KY","0.00","111","-","0.45","112/1",
"1338","廣華-KY","5.21","111","-","0.50","112/1",
"1339","昭輝","6.67","111","9.30","0.94","112/1",
"1340","勝悅-KY","0.00","111","-","0.41","112/1",
"1341","富林-KY","9.07","111","11.70","3.02","112/1",
"1342","八貫","4.59","111","16.55","4.70","112/1",
"1402","遠東新","4.62","111","22.85","0.74","112/1",
"1409","新纖","5.90","111","13.89","0.80","112/1",
"1410","南染","2.14","111","43.43","2.22","112/1",
"1413","宏洲","0.00","111","63.86","0.99","112/1",
"1414","東和","1.84","111","52.73","1.25","112/1",
"1416","廣豐","4.65","111","15.58","0.56","112/1",
"1417","嘉裕","2.79","111","22.46","0.91","112/1",
"1418","東華","0.00","111","44.90","0.97","112/1",
"1419","新紡","3.29","111","18.52","1.14","112/1",
"1423","利華","0.84","111","42.32","1.07","112/1",
"1432","大魯閣","0.00","111","-","2.05","112/1",
"1434","福懋","5.80","111","14.86","0.79","112/1",
"1436","華友聯","8.12","111","9.63","2.24","112/1",
"1437","勤益控","2.90","111","12.49","0.78","112/1",
"1438","三地開發","3.28","111","7.06","1.36","112/1",
"1439","雋揚","1.33","111","18.29","0.89","112/1",
"1440","南紡","2.28","111","-","0.95","112/1",
"1441","大東","0.00","111","-","1.57","112/1",
"1442","名軒","4.88","111","15.12","1.94","112/1",
"1443","立益物流","0.00","111","22.36","2.13","112/1",
"1444","力麗","3.65","111","84.23","0.96","112/1",
"1445","大宇","0.54","111","83.64","1.46","112/1",
"1446","宏和","0.54","111","-","3.57","112/1",
"1447","力鵬","0.00","111","-","0.70","112/1",
"1449","佳和","1.63","111","15.91","0.95","112/1",
"1451","年興","10.20","111","150.77","0.54","112/1",
"1452","宏益","4.79","111","34.08","0.85","112/1",
"1453","大將","2.21","111","-","1.03","112/1",
"1454","台富","1.36","111","102.22","1.44","112/1",
"1455","集盛","1.01","111","-","0.80","112/1",
"1456","怡華","0.00","111","-","1.02","112/1",
"1457","宜進","5.75","111","51.18","0.79","112/1",
"1459","聯發","0.00","111","-","1.03","112/1",
"1460","宏遠","0.00","111","14.49","0.82","112/1",
"1463","強盛","2.74","111","24.75","1.07","112/1",
"1464","得力","6.56","111","19.81","1.12","112/1",
"1465","偉全","5.86","111","17.90","0.94","112/1",
"1466","聚隆","0.00","111","-","0.82","112/1",
"1467","南緯","0.00","111","-","1.02","112/1",
"1468","昶和","0.00","111","118.75","1.92","112/1",
"1470","大統新創","2.36","111","39.79","1.69","112/1",
"1471","首利","0.00","111","-","1.54","112/1",
"1472","三洋實業","0.00","111","101.16","1.39","112/1",
"1473","台南","4.24","111","12.97","0.96","112/1",
"1474","弘裕","3.23","111","68.89","0.77","112/1",
"1475","業旺","0.94","111","11.50","3.26","112/1",
"1476","儒鴻","3.10","111","25.85","7.09","112/1",
"1477","聚陽","4.91","111","20.02","5.60","112/1",
"1503","士電","1.32","111","37.88","2.64","112/1",
"1504","東元","2.54","111","26.22","1.46","112/1",
"1506","正道","0.00","111","48.57","1.92","112/1",
"1512","瑞利","0.00","111","-","3.40","112/1",
"1513","中興電","2.97","111","19.91","3.35","112/1",
"1514","亞力","2.02","111","29.19","3.86","112/1",
"1515","力山","0.00","111","-","1.90","112/1",
"1516","川飛","6.28","111","17.43","1.55","112/1",
"1517","利奇","5.37","111","9.05","0.92","112/1",
"1519","華城","1.21","111","51.12","14.55","112/1",
"1521","大億","1.90","111","32.00","1.55","112/1",
"1522","堤維西","5.66","111","12.67","1.22","112/1",
"1524","耿鼎","4.55","111","11.28","1.51","112/1",
"1525","江申","2.16","111","17.74","1.48","112/1",
"1526","日馳","9.33","111","6.42","1.48","112/1",
"1527","鑽全","5.81","111","9.20","1.20","112/1",
"1528","恩德","0.68","111","18.48","1.16","112/1",
"1529","樂事綠能","1.33","111","64.52","3.47","112/1",
"1530","亞崴","4.86","111","10.39","0.97","112/1",
"1531","高林股","5.48","111","26.55","0.71","112/1",
"1532","勤美","3.20","111","32.37","1.10","112/1",
"1533","車王電","0.00","111","-","2.31","112/1",
"1535","中宇","5.38","111","13.07","1.89","112/1",
"1536","和大","2.40","111","27.45","2.09","112/1",
"1537","廣隆","7.02","111","15.69","2.62","112/1",
"1538","正峰","0.00","111","-","2.92","112/1",
"1539","巨庭","9.03","111","6.22","1.08","112/1",
"1540","喬福","3.35","111","17.55","1.10","112/1",
"1541","錩泰","2.77","111","21.85","1.56","112/1",
"1558","伸興","5.19","111","20.27","1.28","112/1",
"1560","中砂","2.68","111","19.30","3.59","112/1",
"1568","倉佑","4.61","111","16.11","1.57","112/1",
"1582","信錦","5.25","111","18.72","1.26","112/1",
"1583","程泰","4.34","111","10.53","1.42","112/1",
"1587","吉茂","4.07","111","14.88","1.26","112/1",
"1589","永冠-KY","0.00","111","-","0.76","112/1",
"1590","亞德客-KY","1.31","111","33.57","5.26","112/1",
"1597","直得","2.97","111","18.93","2.57","112/1",
"1598","岱宇","1.39","111","-","1.28","112/1",
"1603","華電","1.34","111","16.98","0.99","112/1",
"1604","聲寶","5.45","111","15.11","1.30","112/1",
"1605","華新","4.46","111","8.56","1.21","112/1",
"1608","華榮","1.99","111","20.94","1.16","112/1",
"1609","大亞","1.48","111","11.06","2.15","112/1",
"1611","中電","1.66","111","62.41","1.36","112/1",
"1612","宏泰","5.39","111","22.10","1.19","112/1",
"1614","三洋電","2.53","111","35.23","1.91","112/1",
"1615","大山","6.50","111","13.49","2.11","112/1",
"1616","億泰","0.00","111","73.93","1.17","112/1",
"1617","榮星","1.83","111","52.90","1.24","112/1",
"1618","合機","2.06","111","23.70","1.27","112/1",
"1626","艾美特-KY","5.52","111","452.50","0.82","112/1",
"1701","中化","3.27","111","14.82","0.94","112/1",
"1702","南僑","4.09","111","23.95","1.32","112/1",
"1707","葡萄王","3.72","111","18.31","2.79","112/1",
"1708","東鹼","8.45","111","12.77","1.42","112/1",
"1709","和益","7.14","111","14.08","1.42","112/1",
"1710","東聯","0.96","111","24.41","1.43","112/1",
"1711","永光","1.69","111","39.06","1.35","112/1",
"1712","興農","7.78","111","10.14","1.95","112/1",
"1713","國化","2.98","111","15.32","1.89","112/1",
"1714","和桐","1.20","111","24.59","0.68","112/1",
"1717","長興","3.84","111","19.78","1.56","112/1",
"1718","中纖","0.00","111","-","0.49","112/1",
"1720","生達","3.75","111","13.96","2.62","112/1",
"1721","三晃","0.70","111","-","1.13","112/1",
"1722","台肥","3.86","111","26.45","1.19","112/1",
"1723","中碳","4.61","111","14.94","3.00","112/1",
"1725","元禎","4.72","111","17.38","0.95","112/1",
"1726","永記","4.66","111","15.08","1.24","112/1",
"1727","中華化","2.09","111","34.50","2.47","112/1",
"1730","花仙子","5.00","111","15.87","2.02","112/1",
"1731","美吾華","5.01","111","17.70","1.42","112/1",
"1732","毛寶","0.00","111","667.50","2.36","112/1",
"1733","五鼎","5.22","111","15.58","1.56","112/1",
"1734","杏輝","3.03","111","22.45","1.84","112/1",
"1735","日勝化","2.97","111","26.33","1.10","112/1",
"1736","喬山","0.77","111","-","2.68","112/1",
"1737","臺鹽","4.29","111","17.13","1.05","112/1",
"1752","南光","3.69","111","15.54","2.51","112/1",
"1760","寶齡富錦","1.56","111","66.58","5.93","112/1",
"1762","中化生","1.67","111","11.66","1.77","112/1",
"1773","勝一","2.62","111","20.99","4.36","112/2",
"1776","展宇","3.49","111","191.11","1.19","112/1",
"1783","和康生","1.62","111","32.02","3.89","112/1",
"1786","科妍","2.08","111","42.74","3.99","112/1",
"1789","神隆","1.10","111","82.00","2.48","112/1",
"1795","美時","1.15","111","20.93","5.60","112/1",
"1802","台玻","0.00","111","-","1.08","112/1",
"1805","寶徠","0.00","111","-","1.85","112/1",
"1806","冠軍","0.00","111","-","0.70","112/1",
"1808","潤隆","0.75","111","37.12","5.44","112/1",
"1809","中釉","1.68","111","78.16","0.84","112/1",
"1810","和成","0.95","111","132.19","0.98","112/1",
"1817","凱撒衛","6.16","111","10.07","1.33","112/1",
"1903","士紙","0.00","111","88.08","3.81","112/1",
"1904","正隆","3.36","111","17.03","1.31","112/1",
"1905","華紙","1.04","111","93.39","2.06","112/1",
"1906","寶隆","3.12","111","7.01","0.48","112/1",
"1907","永豐餘","2.49","111","31.12","1.13","112/1",
"1909","榮成","1.55","111","-","0.91","112/1",
"2002","中鋼","3.41","111","71.59","1.40","112/1",
"2006","東和鋼鐵","6.22","111","10.70","1.50","112/1",
"2007","燁興","0.00","111","-","0.78","112/1",
"2008","高興昌","2.69","111","22.91","1.28","112/1",
"2009","第一銅","1.28","111","58.77","2.36","112/1",
"2010","春源","3.42","111","17.91","1.03","112/1",
"2012","春雨","5.92","111","15.84","1.72","112/1",
"2013","中鋼構","3.08","111","23.69","2.05","112/1",
"2014","中鴻","1.42","111","-","2.01","112/1",
"2015","豐興","5.81","111","14.38","1.98","112/1",
"2017","官田鋼","4.75","111","38.30","1.27","112/1",
"2020","美亞","3.92","111","22.37","1.80","112/1",
"2022","聚亨","0.00","111","-","1.24","112/1",
"2023","燁輝","1.99","111","-","0.94","112/1",
"2024","志聯","2.04","111","285.83","1.42","112/1",
"2025","千興","0.00","111","3.80","1.04","112/1",
"2027","大成鋼","8.99","111","9.00","1.36","112/1",
"2028","威致","5.43","111","12.41","1.77","112/1",
"2029","盛餘","4.25","111","18.80","0.82","112/1",
"2030","彰源","7.33","111","10.60","1.07","112/1",
"2031","新光鋼","2.17","111","24.60","1.48","112/1",
"2032","新鋼","1.18","111","-","1.32","112/1",
"2033","佳大","0.00","111","-","1.14","112/1",
"2034","允強","5.42","111","64.30","1.13","112/1",
"2038","海光","2.63","111","19.19","0.92","112/1",
"2049","上銀","2.54","111","21.54","2.29","112/1",
"2059","川湖","1.97","111","26.84","6.01","112/1",
"2062","橋椿","4.47","111","7.81","0.63","112/1",
"2069","運錩","5.59","111","35.80","0.72","112/1",
"2101","南港","0.00","111","-","3.07","112/1",
"2102","泰豐","0.00","111","-","2.24","112/1",
"2103","台橡","4.35","111","14.79","1.13","112/1",
"2104","國際中橡","0.50","111","40.00","0.57","112/1",
"2105","正新","3.64","111","24.21","1.54","112/1",
